,location,total_sqft,bath,price,bhk
3,other,1521.0,3.0,95.0,3
6,other,2732.0,4.0,204.0,4
11,other,2250.0,3.0,148.0,3
12,other,1175.0,2.0,73.5,2
16,other,600.0,1.0,15.0,1
17,other,1755.0,3.0,122.0,3
18,other,1767.0,3.0,103.0,3
19,other,510.0,1.0,25.25,1
22,other,1610.0,3.0,81.0,3
25,other,2475.0,4.0,186.0,4
27,other,1760.0,2.0,123.0,3
29,other,1925.0,3.0,125.0,3
30,other,700.0,2.0,36.0,2
32,other,1724.0,3.0,125.0,3
35,other,1296.0,2.0,81.0,2
37,other,600.0,1.0,38.0,1
38,other,660.0,1.0,48.0,1
39,other,1330.74,2.0,91.79,2
41,other,1459.0,2.0,94.82,2
44,other,1670.0,3.0,99.0,3
46,other,1185.0,2.0,75.0,2
49,other,3210.0,2.0,192.0,4
50,other,840.0,2.0,45.0,2
51,other,4395.0,3.0,240.0,3
52,other,845.0,2.0,55.0,2
55,other,1100.0,2.0,62.0,2
59,other,1358.0,2.0,80.58,2
60,other,1569.0,3.0,101.0,3
61,other,1240.0,2.0,70.0,2
62,other,2089.0,3.0,140.0,3
65,other,2511.0,3.0,205.0,3
67,other,1660.0,2.0,105.0,3
68,other,3203.5,2.0,224.5,4
69,other,1326.0,2.0,78.0,2
71,other,1499.0,5.0,102.0,3
72,other,3000.0,7.0,210.0,6
73,other,1665.0,3.0,88.0,3
74,other,708.0,2.0,37.0,2
75,other,1060.0,2.0,58.06,2
76,other,1000.0,2.0,70.0,2
79,other,1296.0,2.0,80.0,2
80,other,1540.0,3.0,90.0,3
81,other,2894.0,4.0,245.0,4
83,other,1200.0,2.0,65.0,2
84,other,1200.0,3.0,90.0,3
85,other,2502.0,3.0,138.0,3
87,other,2400.0,2.0,150.0,3
90,other,966.0,2.0,49.9,2
91,other,1630.0,2.0,98.0,3
92,other,782.0,2.0,55.68,2
93,other,1260.0,2.0,66.78,2
94,other,1800.0,3.0,120.0,3
95,other,1413.0,2.0,75.0,3
98,other,3700.0,4.0,225.0,4
99,other,2497.0,3.0,140.0,3
101,other,1436.0,3.0,74.75,3
102,other,1100.0,2.0,75.0,2
103,other,1427.0,3.0,120.0,3
104,other,2061.0,3.0,200.0,3
105,other,5611.5,4.0,477.0,4
106,other,2650.0,4.0,150.0,4
107,other,1282.0,2.0,68.52,3
110,other,945.0,2.0,54.0,2
111,other,1500.0,2.0,78.0,2
112,other,1870.0,3.0,110.0,3
114,other,1535.0,3.0,83.0,3
115,other,950.0,2.0,57.0,2
119,other,1260.0,2.0,85.05,3
120,other,5000.0,8.0,250.0,8
121,other,3050.0,5.0,213.0,5
122,other,1563.05,3.0,105.0,3
123,other,1000.0,2.0,60.0,2
126,other,1828.0,3.0,110.0,3
129,other,1710.0,4.0,91.31,3
130,other,957.0,2.0,58.0,2
132,other,2795.0,4.0,235.0,3
136,other,1735.0,3.0,135.0,3
137,other,2050.0,3.0,145.0,3
140,other,1904.0,3.0,150.0,3
141,other,4200.0,4.0,420.0,4
142,other,2000.0,3.0,175.0,3
144,other,1425.0,2.0,75.0,3
146,other,1060.0,2.0,60.0,2
148,other,450.0,1.0,11.0,1
149,other,1152.0,2.0,64.5,2
152,other,1500.0,3.0,100.0,3
153,other,400.0,1.0,14.0,1
154,other,705.0,1.0,67.0,1
157,other,1700.0,3.0,155.0,3
158,other,2144.0,3.0,145.0,3
159,other,1704.0,3.0,110.0,3
166,other,1550.0,2.0,80.0,3
168,other,1327.0,2.0,98.0,2
170,other,1783.0,3.0,115.0,3
173,other,1285.0,2.0,82.0,2
174,other,912.0,2.0,70.0,3
180,other,1359.0,2.0,87.0,2
183,other,1798.0,3.0,89.0,3
184,other,1475.0,3.0,78.29,3
185,other,1580.0,3.0,100.0,3
188,other,589.0,1.0,27.0,1
189,other,1415.0,3.0,78.0,3
190,other,1787.0,3.0,98.29,3
191,other,1787.0,3.0,125.0,3
192,other,1475.0,2.0,90.0,3
196,other,1080.0,2.0,72.0,2
197,other,1500.0,2.0,115.0,2
198,other,1900.0,3.0,119.0,3
201,other,1148.0,2.0,60.0,2
204,other,1290.0,2.0,110.0,2
207,other,1933.0,3.0,129.0,3
209,other,1060.0,2.0,60.0,2
210,other,645.0,1.0,16.45,1
211,other,2600.0,8.0,180.0,8
212,other,645.0,1.0,16.45,1
213,other,1644.0,3.0,84.0,3
214,other,1285.0,2.0,72.5,2
215,other,1200.0,3.0,90.0,3
218,other,4050.0,3.0,280.0,3
219,other,2420.0,3.0,185.0,3
221,other,1060.0,2.0,55.0,2
222,other,1270.0,2.0,93.0,2
224,other,1280.0,2.0,69.0,2
225,other,1200.0,2.0,95.0,4
227,other,1108.0,2.0,63.0,2
228,other,3045.0,3.0,170.0,3
229,other,2900.0,3.0,300.0,4
230,other,1500.0,3.0,75.5,3
232,other,1162.0,2.0,59.9,2
238,other,1804.0,3.0,120.0,3
240,other,1868.0,3.0,131.0,3
